Display_first_last,age,value,pts,ast,reb,pie,season_exp,draftValue,BMI,Center,Center-Forward,Forward,Forward-Center,Forward-Guard,Guard,Guard-Forward,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Jevon Carter,26,3650000.0,2.8,1.1,1.1,0.066,2,2.32,26.38393694877088,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,3.0,13.7,1.5,3.8,0.387,1.0,2.6,0.38799999999999996,0.5,1.3,0.386,0.518,0.2,0.3,0.833,0.2,1.5,0.4,0.2,0.5,1.0
Bryn Forbes,28,2454002.0,9.5,0.6,1.2,0.068,4,3.0,26.317567567567572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,2.0,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.9079999999999999,0.1,1.1,0.3,0.1,0.7,1.3
DeAndre' Bembry,27,1977011.0,4.6,1.9,2.3,0.068,4,1.21,24.89964580873672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,20.0,18.3,2.2,3.9,0.561,0.3,0.6,0.41700000000000004,1.9,3.3,0.589,0.595,0.4,0.6,0.6,0.8,2.2,0.9,0.4,0.6,2.0
Javonte Green,28,1897476.0,4.2,0.4,2.1,0.069,1,3.0,24.95065789473684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,45.0,23.4,2.7,5.0,0.542,0.6,1.6,0.35600000000000004,2.2,3.4,0.625,0.597,1.2,1.5,0.833,1.4,2.8,1.0,0.5,0.5,2.0
Brad Wanamaker,32,2812500.0,4.7,2.5,1.7,0.07,2,3.0,26.24533333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,2.0,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1.0,2.6,0.4,0.39,1.0,1.1,0.92,0.3,1.4,0.3,0.3,1.0,2.0
Duncan Robinson,27,4736102.0,12.5,1.7,3.8,0.07,2,3.0,24.218074026598305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.0,68.0,25.9,3.7,9.2,0.39899999999999997,2.9,7.9,0.37200000000000005,0.7,1.3,0.569,0.5589999999999999,0.6,0.8,0.836,0.3,2.3,0.5,0.2,0.8,2.5
Ryan Arcidiacono,27,3000000.0,3.2,1.2,1.6,0.071,3,3.0,24.370666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.3,0.5
Goga Bitadze,22,3098400.0,3.8,0.3,2.2,0.071,1,1.18,25.511685295398465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,14.6,2.6,5.0,0.52,0.5,1.6,0.28800000000000003,2.2,3.4,0.628,0.565,1.3,1.9,0.6809999999999999,1.6,2.0,0.4,0.8,0.9,2.1
Eric Bledsoe,32,18125000.0,11.3,3.7,3.4,0.071,10,1.18,28.230812535184835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,29.0,25.2,3.6,8.7,0.42100000000000004,0.9,3.0,0.313,2.7,5.6,0.479,0.475,1.6,2.2,0.7609999999999999,0.5,2.9,1.3,0.4,2.1,1.6
Justin Holiday,32,6006420.0,11.6,1.7,3.9,0.07200000000000001,7,3.0,20.798816568047336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.0,65.0,27.8,3.5,8.9,0.39399999999999996,2.4,6.5,0.36700000000000005,1.1,2.4,0.467,0.528,0.7,0.8,0.8059999999999999,0.4,2.2,0.8,0.4,0.9,2.1
Patrick Beverley,33,14320987.0,8.3,2.1,3.7,0.07200000000000001,8,2.42,23.74554325389379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,54.0,25.4,3.1,7.5,0.406,1.4,4.2,0.34299999999999997,1.6,3.3,0.485,0.501,1.7,2.3,0.722,1.1,3.1,1.2,0.9,1.3,3.0
Royce O'Neale,28,8800000.0,7.5,2.6,6.6,0.07200000000000001,3,3.0,27.50657894736842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,77.0,31.2,2.6,5.8,0.457,1.5,4.0,0.389,1.1,1.8,0.609,0.591,0.6,0.7,0.804,0.8,3.9,1.1,0.4,1.0,2.4
Bruno Fernando,23,1782621.0,1.5,0.4,3.0,0.073,1,2.34,25.715592135345226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,0.0,0.4,0.5,0.8
Amir Coffey,24,1669178.0,2.9,0.5,0.7,0.073,1,3.0,23.65486300272392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,30.0,22.7,3.1,6.8,0.45299999999999996,1.4,3.7,0.37799999999999995,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,0.6,0.2,0.7,1.3
Robert Covington,31,12975471.0,8.6,1.7,6.7,0.073,7,3.0,23.542220797949053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,42.0,27.3,2.9,7.0,0.42,1.8,4.8,0.37799999999999995,1.1,2.2,0.509,0.5479999999999999,0.8,1.0,0.841,0.8,4.7,1.5,1.3,1.1,2.7
Kevin Love,33,31258256.0,5.8,1.3,3.3,0.07400000000000001,12,1.5,27.57078125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,4.0,22.5,4.4,10.3,0.43,2.5,6.4,0.392,1.9,3.8,0.493,0.5529999999999999,2.2,2.7,0.838,1.2,6.1,0.4,0.2,1.3,1.4
